STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,WT01,WT02,WT03,WT04,WT06,WT08
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/1/2019,12.75,0,0,0,46,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/2/2019,8.5,0.15,0,0,48,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/3/2019,16.78,0.5,0,0,65,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/4/2019,14.99,0,0,0,54,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/5/2019,7.38,0.18,0,0,45,1,,,1,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/6/2019,6.04,0.1,0,0,67,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/7/2019,8.5,0,0,0,63,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/8/2019,8.28,0.87,0,0,51,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/9/2019,8.5,0.16,0,0,53,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/10/2019,11.41,0,0,0,50,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/11/2019,6.71,0,0,0,53,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/12/2019,7.61,0.06,0,0,59,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/13/2019,10.29,0.73,0,0,70,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/14/2019,5.82,0.08,0,0,70,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/15/2019,17,0.49,0,0,68,1,,1,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/16/2019,15.88,0,0,0,61,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/17/2019,7.16,0,0,0,63,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/18/2019,9.84,0.01,0,0,60,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/19/2019,20.13,0.1,0,0,73,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/20/2019,16.55,0.63,0,0,70,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/21/2019,6.49,0.04,0,0,65,1,1,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/22/2019,12.3,0.4,0,0,62,1,1,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/23/2019,10.51,0.14,0,0,62,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/24/2019,11.41,0.04,0,0,68,1,,,,,1
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/25/2019,8.5,0,0,0,60,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/26/2019,8.95,1.45,0,0,61,1,,1,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/27/2019,14.09,0.46,0,0,60,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/28/2019,6.93,0.05,0,0,52,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/29/2019,8.28,0,0,0,60,,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,4/30/2019,4.7,0.17,0,0,54,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,5/1/2019,6.04,0.02,0,0,56,1,,,,,
USW00014765,"PROVIDENCE, RI US",41.7225,-71.4325,16.8,5/2/2019,8.28,0.01,0,0,57,1,,,,,
